,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,CARI,,NAMA KEGIATAN,:,Penyusunan Kurikulum dan Modul Pelatihan B
,,M Nuramin,,PAGU ANGGARAN,:,  100.000.000 
,,,,WAKTU PELAKSANAAN,:,25 Minggu
,,,,,,
,,,,,,
,,,,,,
,,,,PROGRES (%) Keuangan,:,3%
,,,,PROGRES (%) Fisik,:,500%
,,,,,,
,,TOTAL PROGRES,,PERSIAPAN (%),:,"5,00"
,,"5,00",,PELAKSANAAN (%),:,"0,00"
,,,,PELAPORAN (%),:,"0,00"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,URUTAN PROGRES,,PROGRAM-KEGIATAN,,PIC KEGIATAN
,,,,,,
,,1,,Penyusunan Kurikulum dan Modul Pelatihan D,,Silmi
,,2,,Penyusunan Kurikulum dan Modul Pelatihan E,,Gina N
,,3,,Penyusunan Materi e-learning,,PIC-PME
,,4,,Skema Sertifikasi,,PIC-SS
,,5,,Koordinasi Sinkronisasi Bangkom,,PIC-KSB
,,6,,Peningkatan Komepetensi Pengajar,,PIC-PKP
,,7,,Monev Pelatihan,,PIC-MP
,,8,,Evaluasi Pasca Bangkom,,PIC-EPB
,,9,,Monev Pendidikan,,PIC-MP
,,10,,Pembinaan Pendidikan KS,,PIC-PPendidikanKS
,,11,,Pembinaan Pelatihan KS,,PIC-PPelatihanKS
,,12,,Penyusunan Kurikulum dan Modul Pelatihan A,,Firmansyah Pria Utama
,,13,,Penyusunan Kurikulum dan Modul Pelatihan B,,M Nuramin
,,14,,Penyusunan Kurikulum dan Modul Pelatihan C,,Mutia
